date,STEEL_BILLET_CONSUMED,QUENCH_OIL_CONSUMED,PROTECTIVE_COATING_CONSUMED,PACKAGING_STRAP_CONSUMED
2026-02-12,458,1082,1025,699
2026-02-13,415,906,963,676
2026-02-14,73,269,318,116
2026-02-15,38,53,152,50
2026-02-16,462,1066,1048,720
2026-02-17,464,1061,1097,780
2026-02-18,476,1144,1188,834
2026-02-19,435,1078,1033,689
2026-02-20,378,895,921,590
2026-02-21,98,145,204,146
2026-02-22,35,56,106,89
2026-02-23,439,1007,1107,733
2026-02-24,486,1144,1113,762
2026-02-25,481,1063,1117,781
2026-02-26,474,1031,1004,698
2026-02-27,414,934,944,706
2026-02-28,82,235,226,109
2026-03-01,54,57,125,52
2026-03-02,445,1095,1099,695
2026-03-03,472,1140,1114,720
2026-03-04,456,1063,1129,812
2026-03-05,449,1079,1078,724
2026-03-06,428,992,912,661
2026-03-07,70,244,168,142
2026-03-08,37,57,165,76
2026-03-09,425,1126,1052,739
2026-03-10,477,1172,1147,765
2026-03-11,463,1182,1075,806
2026-03-12,492,1115,1117,791
2026-03-13,449,909,1003,687
2026-03-14,77,148,233,148
2026-03-15,36,141,16,78
2026-03-16,475,1141,1066,770
2026-03-17,468,1107,1158,800
2026-03-18,529,1092,1100,801
2026-03-19,466,1064,1017,713
2026-03-20,375,1010,1031,704
2026-03-21,142,157,171,205
2026-03-22,57,95,56,89
2026-03-23,478,1069,1072,745
2026-03-24,505,1184,1207,786
2026-03-25,519,1180,1193,715
2026-03-26,485,1106,1139,786
2026-03-27,430,936,905,657
2026-03-28,104,201,163,170
2026-03-29,39,101,155,42
2026-03-30,499,1053,1132,748
2026-03-31,525,1175,1165,794
2026-04-01,475,1179,1149,855
2026-04-02,486,1137,1125,759
2026-04-03,439,1010,990,659
2026-04-04,66,182,188,133
2026-04-05,24,166,155,100
2026-04-06,488,1068,1093,804
2026-04-07,504,1214,1095,764
2026-04-08,488,1223,1107,865
2026-04-09,469,1173,1127,752
2026-04-10,451,953,985,669
2026-04-11,143,242,201,200
2026-04-12,52,71,208,52
2026-04-13,469,1073,1193,813
2026-04-14,540,1094,1219,835
2026-04-15,546,1187,1136,806
2026-04-16,531,1173,1135,776
2026-04-17,447,1015,1037,711
2026-04-18,102,206,265,207
2026-04-19,39,70,123,40
2026-04-20,508,1141,1093,766
2026-04-21,506,1240,1138,830
2026-04-22,522,1168,1201,796
2026-04-23,486,1218,1187,813
2026-04-24,452,1081,1093,710
2026-04-25,87,237,104,114
2026-04-26,73,173,137,85
2026-04-27,485,1248,1105,818
2026-04-28,553,1219,1176,833
2026-04-29,513,1203,1147,780
2026-04-30,542,1089,1191,864
2026-05-01,434,943,1087,699
2026-05-02,90,276,184,150
2026-05-03,50,28,123,79
2026-05-04,501,1132,1196,799
2026-05-05,520,1173,1215,826
2026-05-06,477,1223,1263,859
2026-05-07,541,1054,1187,792
2026-05-08,457,1056,1031,731
2026-05-09,109,230,248,181
2026-05-10,34,142,142,53
2026-05-11,525,1113,1236,835
2026-05-12,545,1275,1217,847
2026-05-13,547,1244,1279,834
2026-05-14,499,1231,1116,895
2026-05-15,456,1109,1077,733
2026-05-16,107,255,242,177
2026-05-17,66,43,100,57
2026-05-18,548,1209,1140,799
2026-05-19,552,1286,1299,859
2026-05-20,547,1173,1167,862
2026-05-21,505,1191,1178,826
2026-05-22,477,1005,1042,726
2026-05-23,110,203,162,147
2026-05-24,20,238,77,43
2026-05-25,480,1144,1183,874
2026-05-26,571,1276,1265,849
2026-05-27,520,1313,1242,896
2026-05-28,514,1218,1109,781
2026-05-29,494,1026,1058,757
2026-05-30,114,203,239,204
2026-05-31,49,87,63,76
2026-06-01,558,1298,1279,800
2026-06-02,570,1290,1298,903
2026-06-03,536,1233,1292,881
2026-06-04,538,1172,1184,857
2026-06-05,456,1061,1055,785
2026-06-06,95,109,257,192
2026-06-07,22,50,204,55
2026-06-08,515,1230,1213,814
2026-06-09,592,1279,1258,910
2026-06-10,517,1278,1248,922
2026-06-11,499,1245,1172,806
2026-06-12,493,1093,1047,834
2026-06-13,138,220,254,207
2026-06-14,74,137,145,87
2026-06-15,536,1175,1180,822
2026-06-16,527,1314,1328,914
2026-06-17,562,1349,1261,816
2026-06-18,524,1213,1231,815
2026-06-19,481,1069,1127,808
2026-06-20,115,203,318,178
2026-06-21,50,139,140,78
2026-06-22,533,1150,1256,864
2026-06-23,569,1288,1255,871
2026-06-24,562,1313,1275,913
2026-06-25,538,1205,1219,879
2026-06-26,475,1156,1180,778
2026-06-27,107,242,292,174
2026-06-28,64,89,129,75
2026-06-29,516,1237,1200,857
2026-06-30,548,1288,1361,901
2026-07-01,554,1350,1259,884
2026-07-02,533,1283,1179,884
2026-07-03,477,1129,1203,785
2026-07-04,122,233,263,243
2026-07-05,81,74,86,55
2026-07-06,547,1244,1270,871
2026-07-07,572,1359,1352,932
2026-07-08,577,1374,1253,936
2026-07-09,495,1227,1306,916
2026-07-10,510,1109,1092,798
2026-07-11,101,225,328,163
