date,HARDENED_ROD_SHIPPED,TEMPERED_PLATE_SHIPPED,ANNEALED_COIL_SHIPPED,CASE_HARDENED_GEAR_SHIPPED
2026-02-12,179,110,93,62
2026-02-13,139,113,87,48
2026-02-14,65,21,15,15
2026-02-15,12,22,15,10
2026-02-16,177,105,90,59
2026-02-17,185,89,110,62
2026-02-18,179,113,85,70
2026-02-19,163,118,90,80
2026-02-20,169,91,58,52
2026-02-21,64,32,33,25
2026-02-22,26,15,8,0
2026-02-23,174,134,91,63
2026-02-24,182,91,92,90
2026-02-25,180,131,83,70
2026-02-26,183,91,80,41
2026-02-27,138,114,49,57
2026-02-28,47,32,18,11
2026-03-01,29,0,0,0
2026-03-02,170,132,94,66
2026-03-03,184,108,70,62
2026-03-04,171,128,83,77
2026-03-05,190,109,80,50
2026-03-06,181,105,83,36
2026-03-07,53,34,41,11
2026-03-08,46,18,12,12
2026-03-09,188,114,97,58
2026-03-10,173,121,86,68
2026-03-11,193,117,99,94
2026-03-12,195,118,88,63
2026-03-13,167,89,68,73
2026-03-14,47,38,42,11
2026-03-15,20,37,0,9
2026-03-16,181,125,79,78
2026-03-17,211,117,85,81
2026-03-18,188,129,104,73
2026-03-19,170,106,69,49
2026-03-20,176,108,84,68
2026-03-21,58,9,6,20
2026-03-22,0,10,21,16
2026-03-23,191,116,88,80
2026-03-24,190,115,93,89
2026-03-25,182,107,88,64
2026-03-26,191,100,84,64
2026-03-27,174,131,92,66
2026-03-28,55,30,23,12
2026-03-29,28,7,14,0
2026-03-30,179,125,83,70
2026-03-31,228,119,102,63
2026-04-01,209,113,103,88
2026-04-02,168,141,86,88
2026-04-03,162,137,74,53
2026-04-04,37,21,18,25
2026-04-05,47,22,21,0
2026-04-06,163,113,103,83
2026-04-07,217,128,92,59
2026-04-08,224,134,108,88
2026-04-09,210,123,100,86
2026-04-10,179,106,95,65
2026-04-11,48,14,17,47
2026-04-12,57,6,36,19
2026-04-13,210,121,104,88
2026-04-14,204,136,72,76
2026-04-15,215,133,103,87
2026-04-16,195,141,74,52
2026-04-17,179,113,79,41
2026-04-18,40,13,10,31
2026-04-19,36,41,0,9
2026-04-20,202,129,85,83
2026-04-21,209,105,87,100
2026-04-22,219,140,84,67
2026-04-23,223,122,89,81
2026-04-24,163,92,98,65
2026-04-25,44,44,12,38
2026-04-26,24,0,0,28
2026-04-27,207,130,100,72
2026-04-28,217,132,89,124
2026-04-29,213,132,134,79
2026-04-30,190,137,94,77
2026-05-01,180,114,73,79
2026-05-02,62,43,21,21
2026-05-03,39,24,4,41
2026-05-04,212,110,88,69
2026-05-05,233,121,91,69
2026-05-06,205,149,76,82
2026-05-07,214,119,92,97
2026-05-08,168,105,87,94
2026-05-09,64,20,12,13
2026-05-10,28,30,15,15
2026-05-11,227,124,97,95
2026-05-12,209,151,94,98
2026-05-13,229,141,116,95
2026-05-14,209,115,81,103
2026-05-15,195,130,75,73
2026-05-16,52,32,20,31
2026-05-17,25,27,15,27
2026-05-18,202,125,92,85
2026-05-19,234,125,116,108
2026-05-20,223,125,108,76
2026-05-21,199,130,98,92
2026-05-22,206,115,93,69
2026-05-23,68,44,40,24
2026-05-24,25,51,0,9
2026-05-25,226,131,102,100
2026-05-26,226,120,116,67
2026-05-27,214,140,103,71
2026-05-28,212,154,98,81
2026-05-29,196,116,93,72
2026-05-30,62,40,33,9
2026-05-31,36,21,0,18
2026-06-01,241,140,91,97
2026-06-02,232,139,108,106
2026-06-03,241,131,97,95
2026-06-04,232,137,108,102
2026-06-05,200,146,88,83
2026-06-06,44,35,20,17
2026-06-07,28,23,26,7
2026-06-08,233,121,104,79
2026-06-09,235,134,124,95
2026-06-10,232,121,122,80
2026-06-11,220,132,87,70
2026-06-12,201,126,85,99
2026-06-13,63,42,17,22
2026-06-14,39,40,4,21
2026-06-15,225,130,124,97
2026-06-16,231,139,101,121
2026-06-17,233,156,93,84
2026-06-18,253,155,98,104
2026-06-19,202,140,80,86
2026-06-20,60,37,13,8
2026-06-21,33,25,3,12
2026-06-22,248,155,80,93
2026-06-23,252,154,99,116
2026-06-24,235,136,102,110
2026-06-25,231,141,82,88
2026-06-26,211,119,90,83
2026-06-27,57,29,30,25
2026-06-28,25,15,9,14
2026-06-29,240,133,90,79
2026-06-30,221,149,85,94
2026-07-01,272,142,107,101
2026-07-02,238,126,95,86
2026-07-03,223,115,114,94
2026-07-04,47,54,35,12
2026-07-05,35,11,28,1
2026-07-06,245,152,105,107
2026-07-07,247,138,103,108
2026-07-08,252,151,106,104
2026-07-09,238,145,99,83
2026-07-10,232,106,94,75
2026-07-11,42,41,34,20
