timestamp,FCE3_VIB,CC1_VIB,IS2_VIB,PKG4_VIB
2026-05-13 00:00,1.08,1.08,1.15,1.24
2026-05-13 01:00,1.17,1.15,1.22,1.43
2026-05-13 02:00,1.23,1.32,1.13,1.45
2026-05-13 03:00,1.12,1.39,1.32,1.27
2026-05-13 04:00,1.15,1.23,1.23,1.37
2026-05-13 05:00,0.87,1.16,1.21,1.45
2026-05-13 06:00,1.09,1.27,1.27,1.49
2026-05-13 07:00,1.30,1.26,1.30,1.22
2026-05-13 08:00,1.27,1.26,1.52,1.56
2026-05-13 09:00,1.26,1.43,1.48,1.46
2026-05-13 10:00,1.42,1.54,1.62,1.55
2026-05-13 11:00,1.26,1.46,1.52,1.63
2026-05-13 12:00,1.44,1.54,1.53,1.42
2026-05-13 13:00,1.42,1.50,1.58,1.62
2026-05-13 14:00,1.46,1.57,1.62,1.57
2026-05-13 15:00,1.32,1.45,1.49,1.66
2026-05-13 16:00,1.27,1.29,1.20,1.46
2026-05-13 17:00,1.05,1.24,1.43,1.33
2026-05-13 18:00,1.16,1.21,1.05,1.14
2026-05-13 19:00,1.08,1.14,1.39,1.39
2026-05-13 20:00,1.27,1.27,1.25,1.17
2026-05-13 21:00,1.17,1.16,1.46,1.47
2026-05-13 22:00,1.07,1.20,1.25,1.10
2026-05-13 23:00,1.11,1.26,1.28,1.44
2026-05-14 00:00,1.21,1.15,1.20,1.29
2026-05-14 01:00,1.14,1.30,1.21,1.30
2026-05-14 02:00,1.30,1.06,1.26,1.02
2026-05-14 03:00,1.08,1.17,1.27,1.41
2026-05-14 04:00,1.09,1.32,1.16,1.37
2026-05-14 05:00,1.11,1.33,1.14,1.38
2026-05-14 06:00,1.04,1.34,1.37,1.52
2026-05-14 07:00,1.13,1.43,1.36,1.35
2026-05-14 08:00,1.38,1.43,1.39,1.39
2026-05-14 09:00,1.40,1.34,1.34,1.55
2026-05-14 10:00,1.45,1.52,1.53,1.62
2026-05-14 11:00,1.29,1.49,1.56,1.49
2026-05-14 12:00,1.49,1.61,1.57,1.71
2026-05-14 13:00,1.36,1.47,1.61,1.46
2026-05-14 14:00,1.43,1.48,1.73,1.61
2026-05-14 15:00,1.36,1.44,1.37,1.58
2026-05-14 16:00,1.28,1.27,1.58,1.29
2026-05-14 17:00,1.13,1.34,1.38,1.38
2026-05-14 18:00,1.09,1.37,1.24,1.42
2026-05-14 19:00,1.31,1.20,1.19,1.21
2026-05-14 20:00,1.06,1.24,1.02,1.40
2026-05-14 21:00,1.13,1.28,1.10,1.27
2026-05-14 22:00,1.21,1.32,1.43,1.23
2026-05-14 23:00,1.06,1.21,1.22,1.26
2026-05-15 00:00,1.21,1.18,1.16,1.15
2026-05-15 01:00,1.18,1.29,1.29,1.17
2026-05-15 02:00,1.07,1.29,1.36,1.15
2026-05-15 03:00,1.11,1.09,1.27,1.26
2026-05-15 04:00,1.08,1.12,1.37,1.29
2026-05-15 05:00,1.03,1.24,1.24,1.40
2026-05-15 06:00,1.17,1.03,1.23,1.38
2026-05-15 07:00,1.30,1.22,1.26,1.32
2026-05-15 08:00,1.35,1.30,1.28,1.29
2026-05-15 09:00,1.27,1.49,1.55,1.55
2026-05-15 10:00,1.32,1.43,1.50,1.49
2026-05-15 11:00,1.46,1.57,1.47,1.63
2026-05-15 12:00,1.38,1.43,1.78,1.68
2026-05-15 13:00,1.35,1.56,1.48,1.54
2026-05-15 14:00,1.43,1.52,1.54,1.61
2026-05-15 15:00,1.45,1.48,1.54,1.74
2026-05-15 16:00,1.42,1.40,1.33,1.45
2026-05-15 17:00,1.05,1.38,1.38,1.34
2026-05-15 18:00,1.21,1.12,1.23,1.33
2026-05-15 19:00,1.19,1.33,1.29,1.38
2026-05-15 20:00,1.02,1.26,1.20,1.28
2026-05-15 21:00,1.18,1.13,1.30,1.45
2026-05-15 22:00,1.25,1.38,1.37,1.24
2026-05-15 23:00,1.04,1.25,1.49,1.20
2026-05-16 00:00,1.17,1.04,1.21,1.25
2026-05-16 01:00,1.17,1.32,1.19,1.20
2026-05-16 02:00,1.36,1.16,1.08,1.36
2026-05-16 03:00,1.05,1.19,1.29,1.35
2026-05-16 04:00,1.15,1.34,1.32,1.40
2026-05-16 05:00,1.19,1.16,1.40,1.36
2026-05-16 06:00,1.02,1.22,1.25,1.52
2026-05-16 07:00,1.23,1.10,1.37,1.24
2026-05-16 08:00,1.29,1.33,1.41,1.59
2026-05-16 09:00,1.45,1.43,1.38,1.56
2026-05-16 10:00,1.33,1.35,1.34,1.55
2026-05-16 11:00,1.44,1.68,1.31,1.57
2026-05-16 12:00,1.46,1.49,1.45,1.68
2026-05-16 13:00,1.42,1.43,1.62,1.52
2026-05-16 14:00,1.35,1.38,1.70,1.48
2026-05-16 15:00,1.38,1.48,1.47,1.33
2026-05-16 16:00,1.30,1.50,1.55,1.39
2026-05-16 17:00,1.23,1.24,1.38,1.28
2026-05-16 18:00,1.31,1.41,1.29,1.31
2026-05-16 19:00,1.16,1.13,1.17,1.26
2026-05-16 20:00,1.07,1.35,1.15,1.39
2026-05-16 21:00,0.99,1.09,1.27,1.20
2026-05-16 22:00,1.10,1.08,1.27,1.22
2026-05-16 23:00,1.10,1.27,1.28,1.27
2026-05-17 00:00,1.11,1.05,1.17,1.33
2026-05-17 01:00,1.11,1.16,1.29,1.20
2026-05-17 02:00,1.13,1.06,1.37,1.12
2026-05-17 03:00,1.12,1.29,1.43,1.34
2026-05-17 04:00,1.26,1.19,1.17,1.37
2026-05-17 05:00,1.16,1.25,1.30,1.43
2026-05-17 06:00,1.00,1.07,1.21,1.37
2026-05-17 07:00,1.16,1.39,1.30,1.34
2026-05-17 08:00,1.42,1.48,1.34,1.51
2026-05-17 09:00,1.26,1.40,1.46,1.45
2026-05-17 10:00,1.28,1.36,1.45,1.49
2026-05-17 11:00,1.41,1.33,1.28,1.71
2026-05-17 12:00,1.51,1.54,1.51,1.65
2026-05-17 13:00,1.40,1.28,1.54,1.70
