date,FABRIC_DEFECT_RATE
2026-06-12,2.38
2026-06-13,2.40
2026-06-14,2.22
2026-06-15,1.80
2026-06-16,1.97
2026-06-17,2.20
2026-06-18,2.18
2026-06-19,2.10
2026-06-20,2.17
2026-06-21,2.56
2026-06-22,2.07
2026-06-23,2.18
2026-06-24,2.60
2026-06-25,1.71
2026-06-26,2.21
2026-06-27,2.16
2026-06-28,2.30
2026-06-29,1.98
2026-06-30,4.74
2026-07-01,5.33
2026-07-02,4.68
2026-07-03,5.36
2026-07-04,4.16
2026-07-05,5.59
2026-07-06,5.06
2026-07-07,2.79
2026-07-08,1.94
2026-07-09,1.36
2026-07-10,2.07
2026-07-11,2.11
