date,RAW_YARN_CONSUMED,DYE_CONCENTRATE_CONSUMED,THREAD_CONSUMED,TRIMS_CONSUMED
2026-04-13,468,1017,1050,698
2026-04-14,458,1093,1072,754
2026-04-15,459,1112,1174,774
2026-04-16,463,1028,1004,696
2026-04-17,385,968,920,632
2026-04-18,76,251,316,143
2026-04-19,49,55,212,25
2026-04-20,467,1031,1023,743
2026-04-21,443,1133,1065,770
2026-04-22,488,1130,1159,700
2026-04-23,461,1055,1055,754
2026-04-24,402,961,904,667
2026-04-25,76,172,199,148
2026-04-26,66,89,134,53
2026-04-27,516,1143,1039,743
2026-04-28,533,1099,1210,831
2026-04-29,496,1143,1181,836
2026-04-30,447,1038,1062,722
2026-05-01,429,976,974,716
2026-05-02,99,222,218,155
2026-05-03,57,117,138,95
2026-05-04,488,1028,1101,754
2026-05-05,484,1184,1085,804
2026-05-06,492,1078,1143,820
2026-05-07,498,1088,1182,722
2026-05-08,438,923,981,658
2026-05-09,101,263,230,171
2026-05-10,57,128,134,78
2026-05-11,477,1085,1081,716
2026-05-12,514,1202,1069,759
2026-05-13,496,1143,1186,813
2026-05-14,505,1171,1119,757
2026-05-15,440,899,1007,731
2026-05-16,99,270,225,133
2026-05-17,20,110,191,17
2026-05-18,502,1089,1058,833
2026-05-19,534,1110,1085,766
2026-05-20,520,1198,1179,793
2026-05-21,470,1078,1096,764
2026-05-22,465,999,1052,705
2026-05-23,58,214,140,107
2026-05-24,46,127,16,101
2026-05-25,454,1109,1182,728
2026-05-26,513,1191,1172,822
2026-05-27,508,1217,1159,858
2026-05-28,475,1033,1188,744
2026-05-29,461,1077,990,737
2026-05-30,118,255,320,143
2026-05-31,54,96,140,53
2026-06-01,486,1193,1132,821
2026-06-02,547,1172,1153,850
2026-06-03,534,1219,1252,848
2026-06-04,506,1146,1130,866
2026-06-05,460,1093,1104,692
2026-06-06,88,256,226,190
2026-06-07,77,111,16,109
2026-06-08,495,1185,1141,808
2026-06-09,534,1223,1216,857
2026-06-10,542,1318,1272,899
2026-06-11,506,1158,1185,812
2026-06-12,483,956,1019,752
2026-06-13,80,283,216,150
2026-06-14,59,138,136,89
2026-06-15,502,1181,1163,796
2026-06-16,547,1236,1205,839
2026-06-17,541,1233,1287,934
2026-06-18,498,1196,1239,847
2026-06-19,493,1058,1133,732
2026-06-20,131,245,116,133
2026-06-21,60,50,152,109
2026-06-22,521,1139,1179,825
2026-06-23,539,1254,1332,882
2026-06-24,537,1277,1242,880
2026-06-25,487,1116,1232,775
2026-06-26,449,982,1065,762
2026-06-27,106,247,247,183
2026-06-28,70,187,92,104
2026-06-29,552,1265,1209,910
2026-06-30,557,1279,1299,854
2026-07-01,574,1219,1268,865
2026-07-02,525,1201,1296,814
2026-07-03,471,1082,1110,799
2026-07-04,143,331,292,154
2026-07-05,55,177,173,83
2026-07-06,533,1178,1254,875
2026-07-07,534,1323,1267,914
2026-07-08,603,1350,1321,872
2026-07-09,537,1188,1233,872
2026-07-10,483,1110,1135,764
2026-07-11,126,227,235,154
