order_id,order_date,quantity,destination_region,rush_order,promised_lead_days,actual_lead_time_days
ORD-1000,2026-05-06,800,export,no,13,13
ORD-1001,2026-06-21,100,east,no,5,3
ORD-1002,2026-04-29,50,west,no,5,5
ORD-1003,2026-03-11,150,south,no,5,7
ORD-1004,2026-06-06,500,south,no,7,6
ORD-1005,2026-04-15,150,north,yes,3,3
ORD-1006,2026-06-25,100,east,no,5,5
ORD-1007,2026-01-06,50,south,no,5,4
ORD-1008,2026-05-26,200,north,no,6,6
ORD-1009,2026-05-16,100,east,no,5,7
ORD-1010,2026-02-08,300,export,no,11,11
ORD-1011,2026-05-30,500,export,yes,10,11
ORD-1012,2026-04-13,100,export,no,10,10
ORD-1013,2026-06-26,300,north,no,6,5
ORD-1014,2026-05-22,150,north,no,5,7
ORD-1015,2026-05-12,100,east,yes,3,5
ORD-1016,2026-05-15,500,north,no,7,8
ORD-1017,2026-04-13,200,east,no,6,5
ORD-1018,2026-02-24,500,east,no,7,8
ORD-1019,2026-04-18,200,north,yes,4,4
ORD-1020,2026-04-16,300,export,no,11,11
ORD-1021,2026-04-07,100,north,no,5,6
ORD-1022,2026-05-19,150,west,yes,3,1
ORD-1023,2026-03-23,800,north,no,9,8
ORD-1024,2026-04-26,200,east,no,6,5
ORD-1025,2026-06-20,150,south,no,5,7
ORD-1026,2026-06-29,150,west,no,5,4
ORD-1027,2026-02-05,200,south,no,6,6
ORD-1028,2026-04-29,100,export,no,10,10
ORD-1029,2026-06-30,100,south,no,5,3
ORD-1030,2026-05-08,100,east,no,5,4
ORD-1031,2026-03-22,300,north,no,6,6
ORD-1032,2026-03-14,50,north,no,5,5
ORD-1033,2026-03-27,300,south,no,6,5
ORD-1034,2026-04-09,500,west,no,7,7
ORD-1035,2026-04-29,100,export,no,10,9
ORD-1036,2026-02-05,300,export,no,11,10
ORD-1037,2026-06-20,50,export,yes,7,8
ORD-1038,2026-01-29,500,east,yes,5,6
ORD-1039,2026-03-26,50,east,no,5,6
ORD-1040,2026-03-27,50,north,no,5,5
ORD-1041,2026-01-21,200,south,yes,4,5
ORD-1042,2026-07-01,100,south,no,5,6
ORD-1043,2026-01-22,100,export,no,10,9
ORD-1044,2026-05-06,800,south,yes,7,8
ORD-1045,2026-04-14,100,west,no,5,4
ORD-1046,2026-01-28,800,east,no,9,10
ORD-1047,2026-06-17,150,west,yes,3,2
ORD-1048,2026-01-20,150,north,no,5,3
ORD-1049,2026-06-07,500,south,yes,5,4
ORD-1050,2026-02-17,500,east,no,7,6
ORD-1051,2026-01-13,200,south,no,6,6
ORD-1052,2026-06-05,500,export,no,12,10
ORD-1053,2026-02-21,150,north,no,5,4
ORD-1054,2026-03-26,300,south,no,6,7
ORD-1055,2026-03-22,150,south,no,5,5
ORD-1056,2026-06-23,500,west,no,7,8
ORD-1057,2026-05-23,800,export,yes,11,11
