date,COTTON_TSHIRT_SHIPPED,DENIM_JEANS_SHIPPED,POLO_SHIRT_SHIPPED,CASUAL_TROUSERS_SHIPPED
2026-04-13,166,118,79,61
2026-04-14,147,110,75,61
2026-04-15,181,98,85,90
2026-04-16,183,128,96,54
2026-04-17,150,95,86,76
2026-04-18,41,10,34,31
2026-04-19,50,14,6,0
2026-04-20,167,111,116,73
2026-04-21,173,121,55,72
2026-04-22,199,105,93,55
2026-04-23,163,92,84,63
2026-04-24,143,102,64,36
2026-04-25,47,15,1,20
2026-04-26,27,5,0,20
2026-04-27,161,111,94,58
2026-04-28,181,113,98,54
2026-04-29,181,110,99,77
2026-04-30,179,132,66,58
2026-05-01,172,97,89,78
2026-05-02,25,38,14,20
2026-05-03,46,10,19,0
2026-05-04,208,106,92,72
2026-05-05,213,124,73,74
2026-05-06,201,124,104,63
2026-05-07,190,119,95,49
2026-05-08,194,125,88,73
2026-05-09,31,13,24,16
2026-05-10,28,24,29,19
2026-05-11,197,126,80,54
2026-05-12,182,118,88,70
2026-05-13,206,153,92,103
2026-05-14,202,121,85,66
2026-05-15,190,106,93,54
2026-05-16,52,24,16,25
2026-05-17,25,22,23,22
2026-05-18,211,113,74,54
2026-05-19,192,118,82,71
2026-05-20,209,130,102,69
2026-05-21,198,116,63,76
2026-05-22,210,111,73,80
2026-05-23,38,19,11,45
2026-05-24,30,19,46,15
2026-05-25,201,133,78,70
2026-05-26,200,144,90,79
2026-05-27,207,111,95,63
2026-05-28,207,123,98,72
2026-05-29,236,108,94,56
2026-05-30,74,36,4,34
2026-05-31,35,17,7,18
2026-06-01,220,150,86,66
2026-06-02,218,116,112,87
2026-06-03,209,115,101,76
2026-06-04,192,113,65,94
2026-06-05,181,126,60,86
2026-06-06,64,16,18,5
2026-06-07,29,9,25,18
2026-06-08,216,126,87,79
2026-06-09,241,137,94,79
2026-06-10,210,127,79,89
2026-06-11,219,108,69,69
2026-06-12,212,112,83,83
2026-06-13,46,13,52,18
2026-06-14,28,23,4,2
2026-06-15,212,123,81,74
2026-06-16,233,137,83,95
2026-06-17,231,130,107,88
2026-06-18,227,130,81,66
2026-06-19,201,129,103,67
2026-06-20,56,28,35,15
2026-06-21,40,41,0,17
2026-06-22,223,130,95,105
2026-06-23,239,145,83,76
2026-06-24,238,146,103,80
2026-06-25,213,144,113,87
2026-06-26,192,128,102,70
2026-06-27,48,29,26,16
2026-06-28,27,24,16,20
2026-06-29,234,156,108,92
2026-06-30,243,144,95,104
2026-07-01,249,136,133,73
2026-07-02,216,137,114,71
2026-07-03,216,123,80,95
2026-07-04,47,33,32,32
2026-07-05,43,12,0,37
2026-07-06,242,142,102,101
2026-07-07,255,140,97,104
2026-07-08,242,147,80,107
2026-07-09,245,134,101,95
2026-07-10,204,131,89,75
2026-07-11,49,40,8,30
