date,INS-1_REJECT_RATE
2026-01-01,1.92
2026-01-02,2.15
2026-01-03,1.93
2026-01-04,1.91
2026-01-05,1.72
2026-01-06,1.94
2026-01-07,2.33
2026-01-08,2.13
2026-01-09,2.31
2026-01-10,2.07
2026-01-11,2.12
2026-01-12,2.06
2026-01-13,1.50
2026-01-14,2.26
2026-01-15,2.15
2026-01-16,2.15
2026-01-17,1.49
2026-01-18,1.48
2026-01-19,5.05
2026-01-20,5.57
2026-01-21,5.40
2026-01-22,5.75
2026-01-23,5.99
2026-01-24,6.15
2026-01-25,5.02
2026-01-26,1.90
2026-01-27,1.97
2026-01-28,2.19
2026-01-29,2.07
2026-01-30,1.87
