date,STEEL_BLANKS_CONSUMED
2025-10-13,426
2025-10-14,481
2025-10-15,494
2025-10-16,443
2025-10-17,382
2025-10-18,90
2025-10-19,55
2025-10-20,479
2025-10-21,457
2025-10-22,456
2025-10-23,474
2025-10-24,424
2025-10-25,123
2025-10-26,66
2025-10-27,462
2025-10-28,483
2025-10-29,541
2025-10-30,461
2025-10-31,406
2025-11-01,71
2025-11-02,49
2025-11-03,474
2025-11-04,489
2025-11-05,495
2025-11-06,479
2025-11-07,441
2025-11-08,117
2025-11-09,52
2025-11-10,442
2025-11-11,517
2025-11-12,476
2025-11-13,478
2025-11-14,404
2025-11-15,97
2025-11-16,33
2025-11-17,489
2025-11-18,576
2025-11-19,510
2025-11-20,505
2025-11-21,414
2025-11-22,92
2025-11-23,62
2025-11-24,490
2025-11-25,525
2025-11-26,521
2025-11-27,475
2025-11-28,458
2025-11-29,83
2025-11-30,87
2025-12-01,489
2025-12-02,539
2025-12-03,526
2025-12-04,521
2025-12-05,441
2025-12-06,121
2025-12-07,48
2025-12-08,531
2025-12-09,545
2025-12-10,536
2025-12-11,493
2025-12-12,474
2025-12-13,112
2025-12-14,84
2025-12-15,505
2025-12-16,551
2025-12-17,551
2025-12-18,522
2025-12-19,469
2025-12-20,107
2025-12-21,40
2025-12-22,500
2025-12-23,539
2025-12-24,560
2025-12-25,553
2025-12-26,491
2025-12-27,126
2025-12-28,68
2025-12-29,541
2025-12-30,558
2025-12-31,571
2026-01-01,565
2026-01-02,471
2026-01-03,93
2026-01-04,93
2026-01-05,539
2026-01-06,581
2026-01-07,580
2026-01-08,514
2026-01-09,533
2026-01-10,143
